종목코드,종목명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금
"122900","아이마켓코리아","7620","7620","0","0.00","48678","368287300"
"339950","아이비김영","2630","2670","40","1.52","424938","1114621227"
"469750","아이비젼웍스","1115","1149","34","3.05","221939","251356989"
"460470","아이빔테크놀로지","3170","3240","70","2.21","41839","132258029"
"099190","아이센스","21450","22100","650","3.03","205764","4494605400"
"461300","아이스크림미디어","15480","15070","-410","-2.65","24376","367379640"
"289010","아이스크림에듀","1560","1548","-12","-0.77","59683","91269621"
"214430","아이쓰리시스템","98300","103600","5300","5.39","145488","15179339500"
"040910","아이씨디","5090","5160","70","1.38","54879","278744395"
"368600","아이씨에이치","662","709","47","7.10","466217","319717594"
"456010","아이씨티케이","15040","15330","290","1.93","269217","4065298395"
"052860","아이앤씨","3400","3550","150","4.41","216560","759362789"
"464500","아이언디바이스","3205","3355","150","4.68","92138","300738471"
"010780","아이에스동서","28000","29000","1000","3.57","149472","4208346125"
"212710","아이에스티이","8090","8370","280","3.46","543327","4620355675"
"038880","아이에이","134","134","0","0.00","1606172","211779557"
"307180","아이엘","7550","5290","-2260","-29.93","13509532","74403323270"
"403810","아이엘로보틱스","2410","2295","-115","-4.77","23631","56477290"
"101390","아이엠","396","396","0","0.00","0","0"
"461030","아이엠비디엑스","6900","6850","-50","-0.72","69390","474246030"
"456570","아이엠지티","20300","20350","50","0.25","638","13020700"
"451220","아이엠티","12540","13230","690","5.50","137231","1766916470"
"447690","아이오바이오","3930","3350","-580","-14.76","3374","12778035"
"090150","아이윈","748","737","-11","-1.47","224032","165348361"
"031310","아이즈비전","1370","1386","16","1.17","34058","46876512"
"462980","아이지넷","2270","2305","35","1.54","318037","728271550"
"185490","아이진","1257","1308","51","4.06","170189","214674627"
"059100","아이컴포넌트","5190","5470","280","5.39","66660","351592295"
"149010","아이케이세미콘","3990","3540","-450","-11.28","3700","13266840"
"262840","아이퀘스트","1757","1777","20","1.14","78362","137718088"
"175250","아이큐어","2170","2170","0","0.00","0","0"
"052460","아이크래프트","3065","3045","-20","-0.65","60316","184551371"
"119830","아이텍","8010","8400","390","4.87","382883","3164908995"
"052770","아이톡시","539","498","-41","-7.61","678084","348562330"
"124500","아이티센글로벌","60800","59600","-1200","-1.97","549236","32113152900"
"031820","아이티센씨티에스","798","788","-10","-1.25","1479269","1153228332"
"010280","아이티센엔텍","1114","1094","-20","-1.80","358037","390966482"
"243870","아이티센코어","11290","12500","1210","10.72","155","1990200"
"232830","아이티센피엔에스","2325","2420","95","4.09","188253","455198398"
"372800","아이티아이즈","4245","4340","95","2.24","15366","64958695"
"084850","아이티엠반도체","9680","9820","140","1.45","56809","547546260"
"309710","아이티켐","28800","31400","2600","9.03","129777","3907141275"
"114840","아이패밀리에스씨","11730","11730","0","0.00","86102","999913085"
"027360","아주IB투자","5300","5590","290","5.47","10809415","60631349190"
"139990","아주스틸","3000","2975","-25","-0.83","14955","44553618"
"032080","아즈텍WB","1269","1308","39","3.07","36968","46949328"
"013310","아진산업","3160","3130","-30","-0.95","309714","958705764"
"059120","아진엑스텍","7310","7510","200","2.74","306522","2281669640"
"009320","아진전자부품","1008","1024","16","1.59","161062","162150349"
"0007C0","아크릴","33650","34500","850","2.53","206138","6998794750"
"203690","아크솔루션스","4425","4425","0","0.00","0","0"
"158430","아톤","6330","6450","120","1.90","337205","2128664835"
