종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"451060","1Q 200액티브","26750","1490","5.90","26737.53","26675","27140","26150","186734","4990395141","252787500000","252669622137","9450000","코스피 200","823.02","47.71","6.15"
"491610","1Q CD금리액티브(합성)","103465","5","0.00","103461.59","103460","103470","103460","9042","935511745","220690845000","220683568836","2133000","KIS 하나 CD금리 총수익지수","11710.92","0.91","0.01"
"0103T0","1Q K소버린AI","9660","180","1.90","9675.63","9790","9790","9540","167142","1619037752","26082000000","26124209634","2700000","iSelect K소버린AI 지수","1910.11","43.18","2.31"
"463290","1Q 단기금융채액티브","107765","20","0.02","107765.76","107745","107765","107745","9128","983564990","183200500000","189128906249","1700000","MK 머니마켓 지수(총수익)","14552.20","2.44","0.02"
"0131W0","1Q 단기특수은행채액티브","100810","5","0.00","100804.71","100800","100810","100800","1236","124594740","107161030000","107155409858","1063000","KIS 단기특수은행채 지수(총수익)","115.69","0.01","0.01"
"479080","1Q 머니마켓액티브","52935","15","0.03","52926.68","52925","52935","52925","52018","2753497973","877238820000","877100918628","16572000","KIS-하나 MMF 지수(총수익)","119.10","0.01","0.01"
"0026S0","1Q 미국S&P500","12130","75","0.62","12143.60","12105","12175","12075","316636","3843991408","241387000000","240443214303","19900000","S&P 500","6781.48","-14.51","-0.21"
"0052S0","1Q 미국S&P500미국채혼합50액티브","11540","-60","-0.52","11547.36","11535","11600","11495","177778","2054080073","251572000000","251732469045","21800000","S&P 500 and Short-Term Treasury 50/50 Blend Index","274.85","-0.28","-0.10"
"0069M0","1Q 미국나스닥100","12170","120","1.00","12182.51","12150","12220","12115","162162","1974681200","111964000000","112079062633","9200000","NASDAQ 100","24956.47","-10.78","-0.04"
"0111P0","1Q 미국나스닥100미국채혼합50액티브","10490","-20","-0.19","10505.09","10495","10540","10450","199988","2100899695","195114000000","195394748866","18600000","Nasdaq-100 US T-Bills 0-6 Month 50/50 Index","2858.28","-0.50","-0.02"
"0083S0","1Q 미국메디컬AI","10215","230","2.30","10225.17","10145","10235","10130","47672","485325866","43924500000","42945721817","4300000","KEDI 미국메디컬AI 지수","1773.12","-34.56","-1.91"
"0004G0","1Q 미국배당TOP30","9540","-80","-0.83","9537.77","9550","9580","9510","20149","192499398","9540000000","9537769611","1000000","Solactive U.S. Dividend TOP 30 Index PR","4203.17","-40.30","-0.95"
"0131V0","1Q 미국우주항공테크","12890","445","3.58","12873.25","12785","12960","12745","1366086","17589054553","590362000000","578652452949","45800000","Akros 미국우주항공테크 지수","4287.91","-96.30","-2.20"
"0094X0","1Q 샤오미밸류체인액티브","9655","110","1.15","9558.97","9545","9795","9540","68792","665793165","16896250000","15294345989","1750000","Solactive-KEDI Xiaomi Focus China Tech Index","1884.58","46.89","2.55"
"0017Y0","1Q 종합채권(AA-이상)액티브","97275","890","0.92","97123.54","97050","97275","97045","519","50423260","92897625000","92752980617","955000","KIS 종합채권형 지수(AA-이상)(총수익)","123.23","0.70","0.57"
"0052T0","1Q 중단기회사채(A-이상)액티브","50155","80","0.16","50150.12","50155","50160","50095","993","49744520","91181790000","91172923642","1818000","KEDI 중단기크레딧플러스채권(AAA~A-)지수(총수익)","118.40","0.17","0.14"
"495330","1Q 코리아밸류업","24700","1620","7.02","24639.97","24620","24940","24115","60734","1491974939","96330000000","98559864203","3900000","코리아 밸류업 지수","2505.10","149.04","6.33"
"492500","1Q 현대차그룹채권(A+이상)&국고통안","51065","125","0.25","51034.36","51060","51070","50995","2107","107541972","109176970000","109111459994","2138000","KIS 하나 현대차그룹채권(A+이상)&국고통안 총수익지수","11848.57","24.50","0.21"
"473440","ACE 11월만기자동연장회사채AA-이상액티브","10700","10","0.09","10697.41","10700","10700","10685","5783","61861415","87740000000","87718775319","8200000","KIS 11월 만기자동연장회사채(AA-이상) 총수익지수","122.24","0.03","0.02"
"105190","ACE 200","83315","4730","6.02","83316.75","83515","84500","81435","1475681","122551166287","1428852250000","1428882254513","17150000","코스피 200","823.02","47.71","6.15"
"332500","ACE 200TR","55475","3150","6.02","55490.34","55450","56260","54285","58742","3252278586","144235000000","144274887391","2600000","코스피 200 TR","1085.60","62.93","6.15"
"461270","ACE 26-06 회사채(AA-이상)액티브","11115","0","0.00","11131.40","11115","11120","11115","17448","193948613","161278650000","161516682962","14510000","KIS 크레딧 2606만기형(AA-이상)지수(총수익지수)","124.70","0.01","0.01"
"475260","ACE 2월만기자동연장회사채AA-이상액티브","10610","0","0.00","10614.69","10610","10615","10610","928","9846265","49973100000","49995185468","4710000","KAP 2월 만기자동연장회사채(AA-이상) 총수익지수","121.17","0.04","0.03"
"385600","ACE 2차전지&친환경차액티브","10210","245","2.46","10253.26","10400","10400","10065","31672","324717992","20420000000","20506514334","2000000","FnGuide 친환경 자동차 밸류체인 지수","1832.40","54.48","3.06"
