종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"321820","아티스트컴퍼니","KOSDAQ","IT 서비스","2940","-335","-10.23","45838645440"
"001540","안국약품","KOSDAQ","제약","7280","-590","-7.50","94948817600"
"053800","안랩","KOSDAQ","IT 서비스","58000","-3500","-5.69","645337348000"
"065660","안트로젠","KOSDAQ","유통","37200","-5800","-13.49","372226920000"
"297570","알로이스","KOSDAQ","전기·전자","1341","15","1.13","46427053338"
"260660","알리코제약","KOSDAQ","제약","3145","-445","-12.40","48203481045"
"354320","알멕","KOSDAQ","금속","44000","-7500","-14.56","281220764000"
"361570","알비더블유","KOSDAQ","오락·문화","1854","-126","-6.36","53290061514"
"131370","알서포트","KOSDAQ","IT 서비스","2000","-130","-6.10","106534166000"
"140670","알에스오토메이션","KOSDAQ","전기·전자","17260","-5040","-22.60","221615638400"
"096610","알에프세미","KOSDAQ","전기·전자","2965","0","0.00","51550708615"
"061040","알에프텍","KOSDAQ","전기·전자","1658","-302","-15.41","53203991422"
"148250","알엔투테크놀로지","KOSDAQ","전기·전자","2420","-90","-3.59","22860946240"
"123010","알엔티엑스","KOSDAQ","전기·전자","734","-193","-20.82","23971369828"
"476830","알지노믹스","KOSDAQ","일반서비스","116300","-31800","-21.47","1620505824600"
"347860","알체라","KOSDAQ","IT 서비스","1372","-173","-11.20","53111438492"
"196170","알테오젠","KOSDAQ","일반서비스","332000","-51000","-13.32","17763921616000"
"123750","알톤","KOSDAQ","운송장비·부품","1983","-437","-18.06","27403590597"
"459550","알트","KOSDAQ","전기·전자","3005","-520","-14.75","75328645845"
"085810","알티캐스트","KOSDAQ","IT 서비스","535","-44","-7.60","33323423555"
"043100","알파AI","KOSDAQ","의료·정밀기기","1151","-49","-4.08","23146702080"
"117670","알파칩스","KOSDAQ","전기·전자","13550","-2400","-15.05","90266604100"
"314140","알피바이오","KOSDAQ","제약","6300","-620","-8.96","54598074300"
"291650","압타머사이언스","KOSDAQ","일반서비스","1292","-71","-5.21","52012162864"
"293780","압타바이오","KOSDAQ","일반서비스","6110","-950","-13.46","171650704550"
"310200","애니플러스","KOSDAQ","오락·문화","2945","-290","-8.96","153619552020"
"179530","애드바이오텍","KOSDAQ","제약","1350","-82","-5.73","26567500500"
"397810","애드포러스","KOSDAQ","일반서비스","6000","-750","-11.11","30964620000"
"900100","애머릿지","KOSDAQ","유통","365","-51","-12.26","16803611580"
"052790","액토즈소프트","KOSDAQ","IT 서비스","4985","-695","-12.24","56483230430"
"290740","액트로","KOSDAQ","전기·전자","26200","-1800","-6.43","263703288200"
"238090","앤디포스","KOSDAQ","화학","2915","550","23.26","68622898245"
"138360","앤로보틱스","KOSDAQ","기계·장비","1690","-246","-12.71","130116010180"
"092600","앤씨앤","KOSDAQ","전기·전자","599","-89","-12.94","15025026683"
"129890","앱코","KOSDAQ","전기·전자","835","-69","-7.63","38030577670"
"174900","앱클론","KOSDAQ","제약","52600","-11800","-18.32","1048081826000"
"109960","앱토크롬","KOSDAQ","유통","150","-15","-9.09","33118390350"
"270520","앱튼","KOSDAQ","일반서비스","183","-18","-8.96","35975813901"
"255440","야스","KOSDAQ","기계·장비","8930","-1190","-11.76","116607940000"
"030960","양지사","KOSDAQ","출판·매체복제","7720","-570","-6.88","123365600000"
"102120","어보브반도체","KOSDAQ","전기·전자","9920","-1780","-15.21","176385069760"
"238120","얼라인드","KOSDAQ","의료·정밀기기","4220","-410","-8.86","60678941120"
"019990","에너토크","KOSDAQ","기계·장비","7100","-1560","-18.01","69268224800"
"435570","에르코스","KOSDAQ","음식료·담배","11120","-1980","-15.11","84700850960"
"270660","에브리봇","KOSDAQ","전기·전자","16800","-4000","-19.23","213201794400"
"038680","에스넷","KOSDAQ","IT 서비스","2860","-260","-8.33","56950156120"
"217480","에스디생명공학","KOSDAQ","화학","499","0","0.00","54756837359"
"121890","에스디시스템","KOSDAQ","전기·전자","1334","-149","-10.05","17730788964"
"304360","에스바이오메딕스","KOSDAQ","제약","32300","-5050","-13.52","400039634400"
"389500","에스비비테크","KOSDAQ","기계·장비","46150","-10150","-18.03","292309669600"
"042110","에스씨디","KOSDAQ","전기·전자","1240","-73","-5.56","59928659360"
"298060","에스씨엠생명과학","KOSDAQ","제약","808","-62","-7.13","35716166208"
"065420","에스아이리소스","KOSDAQ","화학","173","-17","-8.95","12382872727"
"103230","에스앤더블류","KOSDAQ","기계·장비","3360","-320","-8.70","24192000000"
"260970","에스앤디","KOSDAQ","음식료·담배","52300","-7300","-12.25","151291034200"
"101490","에스앤에스텍","KOSDAQ","전기·전자","79900","-15500","-16.25","1704656832100"
"095910","에스에너지","KOSDAQ","전기·전자","1092","-193","-15.02","25009880532"
"275630","에스에스알","KOSDAQ","IT 서비스","2200","-310","-12.35","13239575800"
"031330","에스에이엠티","KOSDAQ","유통","4455","-545","-10.90","445478023485"
"060540","에스에이티","KOSDAQ","의료·정밀기기","1192","-78","-6.14","31150900752"
"056190","에스에프에이","KOSDAQ","기계·장비","27700","-4550","-14.11","994672652000"
"0008Z0","에스엔시스","KOSDAQ","전기·전자","26150","-4850","-15.65","246766148600"
"246250","에스엘에스바이오","KOSDAQ","일반서비스","1969","0","0.00","30220617614"
"041510","에스엠","KOSDAQ","오락·문화","95900","-10800","-10.12","2195600771000"
"460870","에스엠씨지","KOSDAQ","비금속","2715","-405","-12.98","54159645360"
"007820","에스엠코어","KOSDAQ","기계·장비","4480","-860","-16.10","89752078080"
"464080","에스오에스랩","KOSDAQ","의료·정밀기기","14040","-2960","-17.41","249870371400"
"109610","에스와이","KOSDAQ","금속","2510","-325","-11.46","122757574000"
"365330","에스와이스틸텍","KOSDAQ","금속","3025","-570","-15.86","151767275000"
"306040","에스제이그룹","KOSDAQ","섬유·의류","8480","-990","-10.45","83662221440"
"398120","에스지헬스케어","KOSDAQ","의료·정밀기기","3300","-700","-17.50","39001086300"
"457940","에스케이증권제10호스팩","KOSDAQ","금융","2110","0","0.00","6984100000"
"472230","에스케이증권제11호스팩","KOSDAQ","금융","2065","0","0.00","8580075000"
"473000","에스케이증권제12호스팩","KOSDAQ","금융","2055","-10","-0.48","6802050000"
"473950","에스케이증권제13호스팩","KOSDAQ","금융","2040","-15","-0.73","9016800000"
"475660","에스켐","KOSDAQ","화학","6010","-750","-11.09","47658308350"
"096630","에스코넥","KOSDAQ","전기·전자","772","-78","-9.18","61282607552"
"069510","에스텍","KOSDAQ","전기·전자","14230","-810","-5.39","155249300000"
"488280","에스투더블유","KOSDAQ","IT 서비스","15000","-2350","-13.54","159888945000"
"234300","에스트래픽","KOSDAQ","IT 서비스","3260","-255","-7.25","88697362800"
"039440","에스티아이","KOSDAQ","기계·장비","29250","-5950","-16.90","453581124750"
