종목코드,종목명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금
"060310","3S","1107","1194","87","7.86","542249","635260949"
"095570","AJ네트웍스","4710","4940","230","4.88","369333","1829093519"
"006840","AK홀딩스","7860","8010","150","1.91","30786","244237000"
"054620","APS","6530","7250","720","11.03","751825","5609607515"
"265520","AP시스템","19300","21600","2300","11.92","145338","3109635750"
"211270","AP위성","13700","15420","1720","12.55","471767","7314869750"
"139050","BF랩스","2805","2805","0","0.00","0","0"
"027410","BGF","4000","4200","200","5.00","249586","1030175072"
"282330","BGF리테일","111900","115300","3400","3.04","73334","8441470750"
"126600","BGF에코머티리얼즈","3375","3700","325","9.63","194230","702967636"
"138930","BNK금융지주","17640","18800","1160","6.58","1147711","21414533465"
"001460","BYC","43600","47800","4200","9.63","8380","392977975"
"001465","BYC우","26300","27100","800","3.04","3456","93097350"
"083790","CG인바이츠","1274","1407","133","10.44","279240","374077422"
"001040","CJ","187600","184000","-3600","-1.92","296214","55060163550"
"079160","CJ CGV","4850","5100","250","5.15","804085","4084217680"
"035760","CJ ENM","60900","64500","3600","5.91","129316","8386254350"
"311690","CJ 바이오사이언스","7420","8060","640","8.63","9553","76093740"
"00104K","CJ4우(전환)","165000","160900","-4100","-2.48","22110","3579463900"
"000120","CJ대한통운","110500","114200","3700","3.35","115578","13166718700"
"011150","CJ씨푸드","2555","2695","140","5.48","289056","774538957"
"011155","CJ씨푸드1우","14350","14750","400","2.79","1084","15757940"
"001045","CJ우","84200","88000","3800","4.51","6549","576116900"
"097950","CJ제일제당","190300","197100","6800","3.57","82706","16291021650"
"097955","CJ제일제당 우","128700","131100","2400","1.86","9283","1222446000"
"051500","CJ프레시웨이","29600","30200","600","2.03","82101","2459696625"
"058820","CMG제약","1675","1812","137","8.18","1442261","2583967873"
"056730","CNT85","458","473","15","3.28","77155","36048475"
"000480","CR홀딩스","4690","4855","165","3.52","42758","206558912"
"065770","CS","615","687","72","11.71","112383","74779932"
"083660","CSA 코스믹","260","270","10","3.85","928864","257236427"
"000590","CS홀딩스","77300","80000","2700","3.49","2385","190094750"
"012030","DB","1699","1910","211","12.42","2920293","5488697023"
"477760","DB금융스팩12호","2230","2230","0","0.00","0","0"
"005830","DB손해보험","175500","190600","15100","8.60","317938","59509441349"
"016610","DB증권","12700","14120","1420","11.18","146396","2050774920"
"000990","DB하이텍","77300","95000","17700","22.90","535924","48556885550"
"099520","DGI","1284","1284","0","0.00","0","0"
"000300","DH오토넥스","4200","4200","0","0.00","0","0"
"290120","DH오토리드","2690","2815","125","4.65","84123","236066184"
"025440","DH오토웨어","825","898","73","8.85","252059","226626151"
"001530","DI동일","20200","22150","1950","9.65","41250","907607675"
"015590","DKME","515","515","0","0.00","0","0"
"000210","DL","40150","42300","2150","5.35","132001","5596228675"
"000215","DL우","22550","23400","850","3.77","6801","159251475"
"375500","DL이앤씨","41650","44600","2950","7.08","285491","12801703050"
"37550L","DL이앤씨2우(전환)","33450","35450","2000","5.98","1680","59108450"
"37550K","DL이앤씨우","22100","23550","1450","6.56","12940","308798150"
"068790","DMS","6330","6330","0","0.00","0","0"
"007340","DN오토모티브","23350","24500","1150","4.93","288068","7048939075"
"004840","DRB동일","5500","5750","250","4.55","60769","345347045"
"241520","DSC인베스트먼트","13320","16310","2990","22.45","1914043","30680017680"
"155660","DSR","3770","3985","215","5.70","77728","304482366"
"069730","DSR제강","3910","4450","540","13.81","242814","1044802541"
"017860","DS단석","15610","17170","1560","9.99","120933","2039843045"
"180400","DXVX","3745","4035","290","7.74","384714","1545896815"
"092780","DYP","4200","4610","410","9.76","152402","691628855"
"017940","E1","93000","99300","6300","6.77","42353","4124204750"
"418620","E8","1143","1233","90","7.87","191191","228057237"
"245620","EDGC","415","415","0","0.00","0","0"
"037370","EG","4710","5070","360","7.64","46872","237520435"
"278990","EMB","3190","3200","10","0.31","1","3200"
"365550","ESR켄달스퀘어리츠","4105","4225","120","2.92","590901","2498898822"
"050120","ES큐브","2385","2600","215","9.01","18785","48541485"
"383220","F&F","62400","63500","1100","1.76","98483","6270940450"
"007700","F&F홀딩스","17630","18860","1230","6.98","36547","684294200"
"214270","FSN","2045","2300","255","12.47","1176114","2678300070"
"130500","GH신소재","2340","2455","115","4.91","136139","331171199"
"114090","GKL","12250","12910","660","5.39","510686","6474045020"
"900290","GRT","5460","6040","580","10.62","1129572","6779077520"
"078930","GS","61400","66600","5200","8.47","557169","36589746800"
"083450","GST","26500","30200","3700","13.96","533719","16035078450"
"006360","GS건설","18750","19550","800","4.27","855356","16920749280"
"001250","GS글로벌","2370","2500","130","5.49","815974","2026960043"
"007070","GS리테일","18660","18960","300","1.61","403248","7656951615"
"078935","GS우","50700","53800","3100","6.11","11139","596698200"
"499790","GS피앤엘","45300","46650","1350","2.98","176670","8303341575"
"297890","HB솔루션","1802","2030","228","12.65","487334","964042079"
"440290","HB인베스트먼트","1975","2115","140","7.09","223486","469885483"
"078150","HB테크놀러지","1715","1949","234","13.64","2246053","4313575115"
"225530","HC보광산업","2665","2800","135","5.07","51341","144728365"
"060560","HC홈센타","644","694","50","7.76","173457","117076220"
"012630","HDC","22600","24350","1750","7.74","294737","6964639975"
"039570","HDC랩스","8090","8140","50","0.62","59581","484970030"
"089470","HDC현대EP","5150","5510","360","6.99","214300","1172254280"
"294870","HDC현대산업개발","20450","20900","450","2.20","431907","9087105475"
"267270","HD건설기계","118300","126600","8300","7.02","458018","58816047050"
"009540","HD한국조선해양","379000","407000","28000","7.39","287942","117444573000"
"267250","HD현대","261500","275000","13500","5.16","290630","80132737750"
"443060","HD현대마린솔루션","159100","173100","14000","8.80","206711","35614015850"
"071970","HD현대마린엔진","72100","79100","7000","9.71","196964","15714818550"
"322000","HD현대에너지솔루션","77800","90100","12300","15.81","1096121","98827007300"
"267260","HD현대일렉트릭","871000","984000","113000","12.97","220416","217940188600"
"329180","HD현대중공업","511000","559000","48000","9.39","251920","139996537500"
"376270","HEM파마","64900","72500","7600","11.71","38631","2744557400"
"097230","HJ중공업","19340","22650","3310","17.11","1652494","37033814350"
"195940","HK이노엔","45550","48900","3350","7.35","348118","17189478775"
"014790","HL D&I","3165","3280","115","3.63","119863","399285837"
"028300","HLB","45700","50600","4900","10.72","1518697","76722319250"
"003580","HLB글로벌","1767","1949","182","10.30","182831","352838082"
"278650","HLB바이오스텝","1099","1232","133","12.10","390399","465741968"
"067630","HLB생명과학","3340","3790","450","13.47","515142","1898974146"
"024850","HLB이노베이션","2515","2875","360","14.31","1639460","4622897935"
"187420","HLB제넥스","2350","2535","185","7.87","55059","135921663"
"047920","HLB제약","13880","15250","1370","9.87","132920","1996135915"
"115450","HLB테라퓨틱스","2545","2805","260","10.22","478561","1313346246"
"046210","HLB파나진","1713","1939","226","13.19","190577","359401279"
"196300","HLB펩","6750","7040","290","4.30","24024","167768460"
"204320","HL만도","48000","53900","5900","12.29","558781","29889275950"
"060980","HL홀딩스","40700","42900","2200","5.41","46042","1991047275"
"011200","HMM","20500","21250","750","3.66","5207570","110263268625"
"403870","HPSP","37950","44950","7000","18.45","5224317","232365895900"
"036640","HRS","4770","4965","195","4.09","86771","430048980"
"035000","HS애드","8170","8580","410","5.02","19843","167161315"
"002460","HS화성","12300","12800","500","4.07","24040","304489870"
"487570","HS효성","53200","57300","4100","7.71","30329","1732415400"
"298050","HS효성첨단소재","195300","209000","13700","7.01","25783","5395717500"
"467930","IBKS제23호스팩","2190","2180","-10","-0.46","7356","15971385"
"469480","IBKS제24호스팩","2195","2190","-5","-0.23","7044","15246215"
"0099X0","IBKS제25호스팩","2130","2140","10","0.47","15756","33645084"
"015360","INVENI","71200","75000","3800","5.34","11738","864172050"
"095340","ISC","163900","202000","38100","23.25","438360","86353007400"
"175330","JB금융지주","28300","29250","950","3.36","749792","22135954325"
"950170","JTC","4460","4610","150","3.36","178229","822725183"
"234080","JW생명과학","12200","12930","730","5.98","71015","909377540"
"067290","JW신약","1900","2080","180","9.47","735464","1523632104"
"001060","JW중외제약","30050","32800","2750","9.15","133254","4345123850"
"001067","JW중외제약2우B","57500","58000","500","0.87","7","405600"
"001065","JW중외제약우","26400","27850","1450","5.49","795","21228600"
"096760","JW홀딩스","3670","4015","345","9.40","134963","527258329"
"035900","JYP Ent.","58100","61600","3500","6.02","429279","26634754550"
"318000","KBG","3805","3900","95","2.50","49838","194480530"
"008970","KBI동양철관","1459","1611","152","10.42","1755945","2799356981"
"024840","KBI메탈","1934","2170","236","12.20","1639345","3521222691"
"105560","KB금융","137700","149000","11300","8.21","1934617","289366519500"
"415640","KB발해인프라","9760","10020","260","2.66","225561","2256129555"
"432320","KB스타리츠","3105","3365","260","8.37","216939","717979750"
"024120","KB오토시스","3330","3435","105","3.15","59070","202270869"
"464680","KB제27호스팩","2085","2080","-5","-0.24","6895","14373666"
"478390","KB제29호스팩","2070","2085","15","0.72","2863","5916805"
