종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"451060","1Q 200액티브","25260","-1645","-6.11","25188.91","25960","25990","24395","304384","7573159725","231129000000","238035241333","9150000","코스피 200","775.31","-53.52","-6.46"
"491610","1Q CD금리액티브(합성)","103460","15","0.01","103449.66","103455","103465","103455","3172","328167505","220680180000","220658123275","2133000","KIS 하나 CD금리 총수익지수","11710.01","0.90","0.01"
"0103T0","1Q K소버린AI","9480","-370","-3.76","9458.19","9315","9480","9150","227921","2126163904","25596000000","25537114528","2700000","iSelect K소버린AI 지수","1866.93","-75.01","-3.86"
"463290","1Q 단기금융채액티브","107745","0","0.00","107745.56","107740","107760","107730","83105","8953435824","184243950000","183167454538","1710000","MK 머니마켓 지수(총수익)","14549.76","-1.04","-0.01"
"0131W0","1Q 단기특수은행채액티브","100805","10","0.01","100796.35","100795","100805","100795","3719","374883767","107155715000","107146520283","1063000","KIS 단기특수은행채 지수(총수익)","115.68","0.00","0.00"
"479080","1Q 머니마켓액티브","52920","0","0.00","52923.22","52920","52925","52920","170432","9019945818","876990240000","877043630634","16572000","KIS-하나 MMF 지수(총수익)","119.09","0.01","0.01"
"0026S0","1Q 미국S&P500","12055","-215","-1.75","12256.20","12025","12055","11960","281662","3378398947","239894500000","242672707269","19900000","S&P 500","6795.99","55.97","0.83"
"0052S0","1Q 미국S&P500미국채혼합50액티브","11600","-20","-0.17","11703.97","11590","11610","11520","206193","2386803804","252880000000","255146453957","21800000","S&P 500 and Short-Term Treasury 50/50 Blend Index","275.13","1.15","0.42"
"0069M0","1Q 미국나스닥100","12050","-245","-1.99","12237.07","11965","12050","11905","184222","2200418617","112065000000","112581026451","9300000","NASDAQ 100","24967.25","324.23","1.32"
"0111P0","1Q 미국나스닥100미국채혼합50액티브","10510","-50","-0.47","10618.84","10480","10510","10435","245279","2569171550","196537000000","197510351919","18700000","Nasdaq-100 US T-Bills 0-6 Month 50/50 Index","2858.78","18.80","0.66"
"0083S0","1Q 미국메디컬AI","9985","-290","-2.82","10239.97","10000","10040","9900","151421","1506140593","42935500000","43007883413","4300000","KEDI 미국메디컬AI 지수","1807.68","29.10","1.64"
"0004G0","1Q 미국배당TOP30","9620","-40","-0.41","9791.10","9600","9620","9560","10380","99508128","9620000000","9791103281","1000000","Solactive U.S. Dividend TOP 30 Index PR","4243.47","-36.60","-0.86"
"0131V0","1Q 미국우주항공테크","12445","-455","-3.53","12849.11","12515","12620","12380","1384050","17232846915","567492000000","569857909968","45600000","Akros 미국우주항공테크 지수","4384.21","83.43","1.94"
"0094X0","1Q 샤오미밸류체인액티브","9545","-95","-0.99","9819.73","9540","9585","9210","68563","651263555","16703750000","17184524479","1750000","Solactive-KEDI Xiaomi Focus China Tech Index","1837.69","-16.86","-0.91"
"0017Y0","1Q 종합채권(AA-이상)액티브","96385","-845","-0.87","96534.53","96390","96515","96020","911","87800320","92047675000","92190473426","955000","KIS 종합채권형 지수(AA-이상)(총수익)","122.53","-0.72","-0.58"
"0052T0","1Q 중단기회사채(A-이상)액티브","50075","-115","-0.23","50064.99","50070","50095","50035","104","5205750","95442950000","91018151827","1906000","KEDI 중단기크레딧플러스채권(AAA~A-)지수(총수익)","118.23","-0.22","-0.19"
"495330","1Q 코리아밸류업","23080","-1820","-7.31","23179.42","23110","23515","22480","81421","1870146967","87704000000","90399737199","3800000","코리아 밸류업 지수","2356.06","-171.32","-6.78"
