code,name,s_score,confidence,news_count,supply_demand_signal,nav_signal,summary,model
069500,KODEX 200,37.86040912403031,0.2294765342151137,0,7.860409124030313,30.0,"heuristic news(pos=0,neg=0) nav%=4.86 sd=+0.20",heuristic
102110,TIGER 200,61.81536621733542,0.31930762331500784,0,31.815366217335427,30.0,"heuristic news(pos=0,neg=0) nav%=4.86 sd=+0.80",heuristic
122630,KODEX 레버리지,67.88100465919484,0.41205376747198064,1,37.881004659194836,30.0,"heuristic news(pos=0,neg=0) nav%=9.86 sd=+0.95",heuristic
252670,KODEX 200선물인버스2X,-30.0,0.2,0,0.0,-30.0,"heuristic news(pos=0,neg=0) nav%=-11.09 sd=+0.00",heuristic
229200,KODEX 코스닥150,38.24246292107436,0.23270923595402887,0,8.72246292107436,29.52,"heuristic news(pos=0,neg=0) nav%=3.69 sd=+0.22",heuristic
233740,KODEX 코스닥150레버리지,30.0,0.27,1,0.0,30.0,"heuristic news(pos=0,neg=0) nav%=5.52 sd=+0.00",heuristic
360750,TIGER 미국S&P500,-29.99466699297522,0.3499800012236571,0,-39.99466699297522,10.0,"heuristic news(pos=0,neg=0) nav%=1.25 sd=-1.00",heuristic
379800,KODEX 미국S&P500,-29.009193265007596,0.3462844747437785,0,-39.009193265007596,10.0,"heuristic news(pos=0,neg=0) nav%=1.25 sd=-0.98",heuristic
133690,TIGER 미국나스닥100,-39.33817925247845,0.34751817219679415,0,-39.33817925247845,0.0,"heuristic news(pos=0,neg=0) nav%=0.00 sd=-0.98",heuristic
379810,KODEX 미국나스닥100,-17.529176707092407,0.3491344126515965,0,-39.769176707092406,22.24,"heuristic news(pos=0,neg=0) nav%=2.78 sd=-0.99",heuristic
305720,KODEX 2차전지산업,28.051942349616915,0.20730521618893658,0,-1.9480576503830858,30.0,"heuristic news(pos=0,neg=0) nav%=5.77 sd=-0.05",heuristic
305540,TIGER 2차전지테마,31.339498953252015,0.20502312107469509,0,1.3394989532520165,30.0,"heuristic news(pos=0,neg=0) nav%=6.06 sd=+0.03",heuristic
091160,KODEX 반도체,54.79987471877496,0.29299953019540614,0,24.799874718774962,30.0,"heuristic news(pos=0,neg=0) nav%=7.23 sd=+0.62",heuristic
091170,KODEX 은행,30.0,0.2,0,0.0,30.0,"heuristic news(pos=0,neg=0) nav%=4.05 sd=+0.00",heuristic
117460,KODEX 에너지화학,24.822400039813086,0.20021599985070093,0,-0.057599960186913025,24.88,"heuristic news(pos=0,neg=0) nav%=3.11 sd=-0.00",heuristic
139660,TIGER 200 IT,5.381599997900481,0.2000809999921268,0,0.021599997900480245,5.36,"heuristic news(pos=0,neg=0) nav%=0.67 sd=+0.00",heuristic
228790,TIGER 화장품,0.14239939842950294,0.20053399774411065,0,0.14239939842950294,0.0,"heuristic news(pos=0,neg=0) nav%=0.00 sd=+0.00",heuristic
143860,TIGER 헬스케어,-5.7815987523214325,0.2006809953212054,0,-0.1815987523214333,-5.6,"heuristic news(pos=0,neg=0) nav%=-0.70 sd=-0.00",heuristic
305080,TIGER 미국채10년선물,0.6935304921609925,0.20260073934560374,0,0.6935304921609925,0.0,"heuristic news(pos=0,neg=0) nav%=0.00 sd=+0.02",heuristic
214980,KODEX 단기채권PLUS,-1.55559244312386,0.2067334716617145,0,-1.79559244312386,0.24,"heuristic news(pos=0,neg=0) nav%=0.03 sd=-0.04",heuristic
273130,KODEX 종합채권,4.114382923151535,0.20162893596181827,0,0.4343829231515342,3.68,"heuristic news(pos=0,neg=0) nav%=0.46 sd=+0.01",heuristic
278530,KODEX 200TR,30.0,0.2,0,0.0,30.0,"heuristic news(pos=0,neg=0) nav%=4.86 sd=+0.00",heuristic
294400,KOSEF 200TR,30.806290770556142,0.20302359038958553,0,0.8062907705561426,30.0,"heuristic news(pos=0,neg=0) nav%=4.85 sd=+0.02",heuristic
411060,ACE 미국빅테크TOP7Plus,21.632589992730615,0.22172221247273982,0,5.7925899927306155,15.84,"heuristic news(pos=0,neg=0) nav%=1.98 sd=+0.14",heuristic
449450,PLUS K방산,32.407486629144174,0.20902807485929065,0,2.40748662914417,30.0,"heuristic news(pos=0,neg=0) nav%=5.35 sd=+0.06",heuristic
