code,name,weight,expected_return_ann,current_price
122630,KODEX 레버리지,0.0,9.765798979641763,182370.0
102110,TIGER 200,0.20137576785698383,4.847149914543634,129575.0
091160,KODEX 반도체,0.22358178512374732,6.09308667008609,168740.0
229200,KODEX 코스닥150,0.18336640355165681,4.547936666823102,18015.0
069500,KODEX 200,0.059522669290427085,4.848464733009458,129270.0
233740,KODEX 코스닥150레버리지,0.0,8.698753154793332,13000.0
449450,PLUS K방산,0.2177799008162689,4.035311539502806,63510.0
305540,TIGER 2차전지테마,0.06480427071016653,4.137610790095245,21605.0
294400,KOSEF 200TR,0.02632086174162132,4.855414894943731,169215.0
278530,KODEX 200TR,0.023248340909128168,4.87815750922589,46715.0
